Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
Audi,100,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,21,19,3105
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,19,819
Mercedes-Benz,190-Class,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,26,18,617
Mercedes-Benz,190-Class,1991,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,25,17,617
Mercedes-Benz,190-Class,1992,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,25,17,617
Mercedes-Benz,190-Class,1992,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,26,18,617
Mercedes-Benz,190-Class,1993,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,26,18,617
Mercedes-Benz,190-Class,1993,regular unleaded,158,6,MANUAL,rear wheel drive,3,Compact,Sedan,25,17,617
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,3,Compact,Coupe,35,23,3916
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,3,Compact,Convertible,34,23,3916
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,31,20,3916
BMW,2 Series,2016,premium unleaded (required),240,5,AUTOMATIC,all wheel drive,2,Compact,Coupe,35,23,3916
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,34,22,3916
BMW,2 Series,2010,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,20,3916
BMW,2 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,Compact,Coupe,34,22,3916
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,30,20,3916
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,30,20,3916
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,31,21,3916
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,32,21,3916
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,Compact,Convertible,32,21,3916
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,32,21,3916
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34,23,3916
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35,24,3916
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,33,24,3916
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,33,23,3916
Audi,200,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,20,16,3105
Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,Wagon,22,15,3105
Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,Sedan,23,15,3105
Audi,200,1991,regular unleaded,249,5,MANUAL,all wheel drive,4,Midsize,Sedan,22,16,3105
Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,Wagon,22,16,3105
Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,20,16,3105
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1013
Chrysler,200,2010,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2015,flex-fuel (unleaded/E85),184,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,3,Midsize,Sedan,29,18,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,26,18,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),295,5,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Coupe,36,23,1013
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,36,26,2009
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,36,26,2009
Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,29,21,2009
Nissan,200SX,1997,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,29,21,2009
Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,35,25,2009
Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,35,25,2009
Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,35,25,2009
Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,35,25,2009
Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,28,20,2009
Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009
Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,25,20,2009
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,25,20,2009
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,25,20,2009
Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,26,19,870
Volvo,240,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,26,18,870
Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,26,19,870
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870
Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870
Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,25,18,870
Mazda,2,2012,regular unleaded,249,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,1557
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586
Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,34,28,586
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,26,29,586
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586
Mazda,2,2014,regular unleaded,249,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586
Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,3,Compact,4dr Hatchback,35,29,586
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,22,3916
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,26,22,3916
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,3,Midsize,4dr Hatchback,34,22,3916
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916
BMW,3 Series Gran Turismo,2017,premium unleaded (required),249,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,23,3916
BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,22,3916
BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33,25,3916
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,3916
BMW,3 Series,2015,premium unleaded (required),300,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32,21,3916
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,45,32,1557
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,26,22,3916
BMW,3 Series,2010,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,3916
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35,23,3916
BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,30,20,3916
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,43,31,3916
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,3916
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,43,31,3916
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,3916
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,3,Midsize,Sedan,40,30,3916
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,3916
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,3916
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34,22,3916
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34,22,3916
BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,Midsize,Sedan,34,22,3916
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,34,22,3916
BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,3916
BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35,23,3916
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40,30,3916
BMW,3 Series,2016,premium unleaded (required),249,6,AUTOMATIC,rear wheel drive,3,Midsize,Sedan,33,22,3916
BMW,3 Series,2010,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34,23,3916
BMW,3 Series,2017,premium unleaded (recommended),180,5,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34,23,3916
BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,3916
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,23,3916
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40,30,3916
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,23,3916
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,3916
BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,31,21,3916
BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32,21,3916
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40,30,3916
Mercedes-Benz,300-Class,1991,regular unleaded,249,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,19,15,617
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,20,15,617
Mercedes-Benz,300-Class,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,17,617
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,20,19,617
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,18,15,617
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,16,617
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,3,Large,Sedan,19,15,617
Mercedes-Benz,300-Class,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,21,14,617
Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,3,Midsize,Coupe,22,15,617
Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,30,23,617
Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,29,23,617
Mercedes-Benz,300-Class,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,26,14,617
Mercedes-Benz,300-Class,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,21,15,617
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,19,15,617
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,20,15,617
Mercedes-Benz,300-Class,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Sedan,21,15,1557
Mercedes-Benz,300-Class,2010,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,16,617
Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,22,18,617
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,18,15,617
Mercedes-Benz,300-Class,1992,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,23,18,617
Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Coupe,19,15,617
Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,22,17,617
Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,30,23,617
Mercedes-Benz,300-Class,1993,regular unleaded,228,5,MANUAL,rear wheel drive,2,Compact,Convertible,21,14,617
Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,17,617
Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,22,18,617
Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,19,15,617
Mercedes-Benz,300-Class,1993,regular unleaded,194,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,23,17,617
Mercedes-Benz,300-Class,1993,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,18,14,617
Mitsubishi,3000GT,1997,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23,17,436
Mitsubishi,3000GT,1997,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22,17,436
Mitsubishi,3000GT,1997,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,16,436
Mitsubishi,3000GT,1998,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,16,436
Mitsubishi,3000GT,1998,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22,17,436
Mitsubishi,3000GT,1998,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23,17,436
Mitsubishi,3000GT,1999,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23,17,436
Mitsubishi,3000GT,1999,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,16,436
Mitsubishi,3000GT,1999,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22,17,436
Chrysler,300,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2015,regular unleaded,249,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2010,regular unleaded,292,5,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2010,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,19,1013
Chrysler,300,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1013
Chrysler,300,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1013
Chrysler,300,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,3,Large,Sedan,27,18,1013
Chrysler,300,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1013
Chrysler,300,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1013
Chrysler,300,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013
Chrysler,300,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1013
Chrysler,300M,2002,premium unleaded (required),250,6,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1013
