,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
31,Audi,100,1994.0,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,21.0,,3105.0
32,FIAT,124 Spider,2017.0,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35.0,26.0,819.0
33,FIAT,124 Spider,2017.0,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35.0,26.0,819.0
34,FIAT,124 Spider,2017.0,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35.0,,819.0
35,Mercedes-Benz,190-Class,1991.0,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26.0,18.0,617.0
36,Mercedes-Benz,190-Class,1991.0,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25.0,17.0,617.0
37,Mercedes-Benz,190-Class,1992.0,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25.0,17.0,617.0
38,Mercedes-Benz,190-Class,1992.0,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26.0,18.0,617.0
39,Mercedes-Benz,190-Class,1993.0,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26.0,18.0,617.0
40,Mercedes-Benz,190-Class,1993.0,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,,Compact,Sedan,25.0,17.0,617.0
41,BMW,2 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,,Compact,Coupe,35.0,23.0,3916.0
42,BMW,2 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,,Compact,Convertible,34.0,23.0,3916.0
43,BMW,2 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,31.0,20.0,3916.0
44,BMW,2 Series,2016.0,premium unleaded (required),240.0,,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35.0,23.0,3916.0
45,BMW,2 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,34.0,22.0,3916.0
46,BMW,2 Series,,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,31.0,20.0,3916.0
47,BMW,2 Series,2016.0,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34.0,22.0,3916.0
48,BMW,2 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30.0,20.0,3916.0
49,BMW,2 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,30.0,20.0,3916.0
50,BMW,2 Series,2017.0,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,31.0,21.0,3916.0
51,BMW,2 Series,2017.0,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,32.0,21.0,3916.0
52,BMW,2 Series,2017.0,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,32.0,21.0,3916.0
53,BMW,2 Series,2017.0,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32.0,21.0,3916.0
54,BMW,2 Series,2017.0,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34.0,23.0,3916.0
55,BMW,2 Series,2017.0,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35.0,24.0,3916.0
56,BMW,2 Series,2017.0,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,33.0,24.0,3916.0
57,BMW,2 Series,2017.0,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,33.0,23.0,3916.0
58,Audi,200,1990.0,regular unleaded,162.0,,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,20.0,16.0,3105.0
59,Audi,200,1990.0,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,22.0,15.0,3105.0
60,Audi,200,1990.0,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,23.0,15.0,3105.0
61,Audi,200,1991.0,regular unleaded,,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22.0,16.0,3105.0
62,Audi,200,1991.0,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,22.0,16.0,3105.0
63,Audi,200,1991.0,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,20.0,16.0,3105.0
64,Chrysler,200,2015.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
65,Chrysler,200,2015.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
66,Chrysler,200,2015.0,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29.0,18.0,1013.0
67,Chrysler,200,,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
68,Chrysler,200,2015.0,flex-fuel (unleaded/E85),184.0,,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
69,Chrysler,200,2015.0,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,,Midsize,Sedan,29.0,18.0,1013.0
70,Chrysler,200,2016.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
71,Chrysler,200,2016.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
72,Chrysler,200,2016.0,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29.0,18.0,1013.0
73,Chrysler,200,2016.0,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,,18.0,1013.0
74,Chrysler,200,2016.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
75,Chrysler,200,2016.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
76,Chrysler,200,2016.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
77,Chrysler,200,2016.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
78,Chrysler,200,2017.0,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28.0,18.0,1013.0
79,Chrysler,200,2017.0,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28.0,18.0,1013.0
80,Chrysler,200,2017.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
81,Chrysler,200,2017.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
82,Chrysler,200,2017.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
83,Chrysler,200,2017.0,flex-fuel (unleaded/E85),295.0,,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28.0,18.0,1013.0
84,Chrysler,200,2017.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
85,Chrysler,200,2017.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36.0,23.0,1013.0
86,Chrysler,200,2017.0,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Coupe,36.0,23.0,1013.0
87,Nissan,200SX,1996.0,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,36.0,26.0,2009.0
88,Nissan,200SX,1996.0,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,36.0,26.0,2009.0
89,Nissan,200SX,1996.0,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29.0,21.0,2009.0
90,Nissan,200SX,1997.0,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29.0,21.0,2009.0
91,Nissan,200SX,1997.0,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35.0,25.0,2009.0
92,Nissan,200SX,1997.0,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35.0,25.0,2009.0
93,Nissan,200SX,1998.0,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35.0,25.0,2009.0
94,Nissan,200SX,1998.0,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35.0,25.0,2009.0
95,Nissan,200SX,1998.0,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,28.0,20.0,2009.0
96,Nissan,240SX,1996.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26.0,19.0,2009.0
97,Nissan,240SX,1996.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,,19.0,2009.0
98,Nissan,240SX,1997.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,,19.0,2009.0
99,Nissan,240SX,1997.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26.0,19.0,2009.0
100,Nissan,240SX,1997.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26.0,19.0,2009.0
101,Nissan,240SX,1998.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25.0,20.0,2009.0
102,Nissan,240SX,1998.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25.0,20.0,2009.0
103,Nissan,240SX,1998.0,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25.0,20.0,2009.0
104,Volvo,240,1991.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,26.0,19.0,870.0
105,Volvo,240,1991.0,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,,18.0,870.0
106,Volvo,240,1991.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26.0,19.0,870.0
107,Volvo,240,1992.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26.0,19.0,870.0
108,Volvo,240,1992.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,26.0,19.0,870.0
109,Volvo,240,1992.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26.0,19.0,870.0
110,Volvo,240,1993.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26.0,19.0,870.0
111,Volvo,240,1993.0,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,25.0,18.0,870.0
112,Mazda,2,2012.0,regular unleaded,,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35.0,29.0,586.0
113,Mazda,2,2012.0,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35.0,29.0,
114,Mazda,2,2012.0,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34.0,28.0,586.0
115,Mazda,2,2012.0,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34.0,28.0,586.0
116,Mazda,2,2013.0,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34.0,28.0,586.0
117,Mazda,2,2013.0,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,34.0,28.0,586.0
118,Mazda,2,2013.0,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,,29.0,586.0
119,Mazda,2,2013.0,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35.0,29.0,586.0
120,Mazda,2,2014.0,regular unleaded,,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34.0,28.0,586.0
121,Mazda,2,2014.0,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34.0,28.0,586.0
122,Mazda,2,2014.0,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35.0,29.0,586.0
123,Mazda,2,2014.0,regular unleaded,100.0,4.0,MANUAL,front wheel drive,,Compact,4dr Hatchback,35.0,29.0,586.0
124,BMW,3 Series Gran Turismo,2015.0,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30.0,20.0,3916.0
125,BMW,3 Series Gran Turismo,2015.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33.0,22.0,3916.0
126,BMW,3 Series Gran Turismo,2015.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,,22.0,3916.0
127,BMW,3 Series Gran Turismo,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,,Midsize,4dr Hatchback,34.0,22.0,3916.0
128,BMW,3 Series Gran Turismo,2016.0,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30.0,20.0,3916.0
129,BMW,3 Series Gran Turismo,2017.0,premium unleaded (required),,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30.0,20.0,3916.0
130,BMW,3 Series Gran Turismo,2017.0,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33.0,23.0,3916.0
131,BMW,3 Series,2015.0,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33.0,22.0,3916.0
132,BMW,3 Series,2015.0,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33.0,25.0,3916.0
133,BMW,3 Series,2015.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35.0,23.0,3916.0
134,BMW,3 Series,2015.0,premium unleaded (required),300.0,,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32.0,21.0,3916.0
135,BMW,3 Series,2015.0,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,45.0,32.0,
136,BMW,3 Series,2015.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,,22.0,3916.0
137,BMW,3 Series,,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33.0,22.0,3916.0
138,BMW,3 Series,2015.0,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35.0,23.0,3916.0
139,BMW,3 Series,2015.0,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30.0,20.0,3916.0
140,BMW,3 Series,2015.0,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,43.0,31.0,3916.0
141,BMW,3 Series,2015.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35.0,23.0,3916.0
142,BMW,3 Series,2015.0,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,43.0,31.0,3916.0
143,BMW,3 Series,2015.0,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36.0,24.0,3916.0
144,BMW,3 Series,2016.0,diesel,180.0,4.0,AUTOMATIC,all wheel drive,,Midsize,Sedan,40.0,30.0,3916.0
145,BMW,3 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33.0,22.0,3916.0
146,BMW,3 Series,2016.0,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42.0,32.0,3916.0
147,BMW,3 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34.0,22.0,3916.0
148,BMW,3 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34.0,22.0,3916.0
149,BMW,3 Series,2016.0,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,34.0,22.0,3916.0
150,BMW,3 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,34.0,22.0,3916.0
151,BMW,3 Series,2016.0,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36.0,24.0,3916.0
152,BMW,3 Series,2016.0,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35.0,23.0,3916.0
153,BMW,3 Series,2016.0,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40.0,30.0,3916.0
154,BMW,3 Series,2016.0,premium unleaded (required),,6.0,AUTOMATIC,rear wheel drive,,Midsize,Sedan,33.0,22.0,3916.0
155,BMW,3 Series,,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34.0,23.0,3916.0
156,BMW,3 Series,2017.0,premium unleaded (recommended),180.0,,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34.0,23.0,3916.0
157,BMW,3 Series,2017.0,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35.0,23.0,3916.0
158,BMW,3 Series,2017.0,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33.0,23.0,3916.0
159,BMW,3 Series,2017.0,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40.0,30.0,3916.0
160,BMW,3 Series,2017.0,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33.0,23.0,3916.0
161,BMW,3 Series,2017.0,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42.0,32.0,3916.0
162,BMW,3 Series,2017.0,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31.0,21.0,3916.0
163,BMW,3 Series,2017.0,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32.0,21.0,3916.0
164,BMW,3 Series,2017.0,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40.0,30.0,3916.0
165,Mercedes-Benz,300-Class,1991.0,regular unleaded,,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,19.0,15.0,617.0
166,Mercedes-Benz,300-Class,1991.0,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,20.0,15.0,617.0
167,Mercedes-Benz,300-Class,1991.0,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22.0,17.0,617.0
168,Mercedes-Benz,300-Class,1991.0,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,20.0,,617.0
169,Mercedes-Benz,300-Class,1991.0,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,18.0,15.0,617.0
170,Mercedes-Benz,300-Class,1991.0,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22.0,16.0,617.0
171,Mercedes-Benz,300-Class,1991.0,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,,Large,Sedan,19.0,15.0,617.0
172,Mercedes-Benz,300-Class,1991.0,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,21.0,14.0,617.0
173,Mercedes-Benz,300-Class,1991.0,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,,Midsize,Coupe,22.0,15.0,617.0
174,Mercedes-Benz,300-Class,1991.0,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,30.0,23.0,617.0
175,Mercedes-Benz,300-Class,1992.0,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,29.0,23.0,617.0
176,Mercedes-Benz,300-Class,1992.0,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,,14.0,617.0
177,Mercedes-Benz,300-Class,1992.0,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,21.0,15.0,617.0
178,Mercedes-Benz,300-Class,1992.0,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,19.0,15.0,617.0
179,Mercedes-Benz,300-Class,1992.0,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,20.0,15.0,617.0
180,Mercedes-Benz,300-Class,1992.0,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Sedan,21.0,15.0,
181,Mercedes-Benz,300-Class,,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22.0,16.0,617.0
182,Mercedes-Benz,300-Class,1992.0,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22.0,18.0,617.0
183,Mercedes-Benz,300-Class,1992.0,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,18.0,15.0,617.0
184,Mercedes-Benz,300-Class,1992.0,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,18.0,617.0
